Node,Depth (m),Disp X (mm),Disp Y (mm),"Disp Z (mm, +up/-down)",Section Depth (m),Axial Force (kN),Shear X' (kN),Shear Y' (kN),Moment X' (kN*m),Moment Y' (kN*m)
90,6.00750000,-0.02410001,0.00000000,-1.75253825,6.00750000,745.05876470,7.49307932,0.00000000,-0.00000000,8.88603934
91,6.07500000,-0.02432999,0.00000000,-1.73864218,6.07500000,743.38294366,7.26030147,0.00000000,-0.00000000,8.38025649
92,6.14250000,-0.02448083,0.00000000,-1.72477737,6.14250000,741.71705151,7.02608052,0.00000000,-0.00000000,7.89018614
93,6.21000000,-0.02455793,0.00000000,-1.71094362,6.21000000,740.06106599,6.79112187,0.00000000,-0.00000000,7.41592571
94,6.27750000,-0.02456652,0.00000000,-1.69714077,6.27750000,738.41496501,6.55608104,0.00000000,-0.00000000,6.95752498
95,6.34500000,-0.02451160,0.00000000,-1.68336861,6.34500000,736.77872656,6.32156566,0.00000000,-0.00000000,6.51498951
96,6.41250000,-0.02439797,0.00000000,-1.66962698,6.41250000,735.15232879,6.08813746,0.00000000,-0.00000000,6.08828383
97,6.48000000,-0.02423023,0.00000000,-1.65591567,6.48000000,733.53574999,5.85631415,0.00000000,-0.00000000,5.67733455
98,6.54750000,-0.02401277,0.00000000,-1.64223452,6.54750000,731.92896855,5.62657137,0.00000000,-0.00000000,5.28203334
99,6.61500000,-0.02374980,0.00000000,-1.62858333,6.61500000,730.33196303,5.39934455,0.00000000,-0.00000000,4.90223978
100,6.68250000,-0.02344533,0.00000000,-1.61496193,6.68250000,728.74471208,5.17503075,0.00000000,-0.00000000,4.53778402
101,6.75000000,-0.02310318,0.00000000,-1.60137014,6.75000000,727.16719451,4.95399046,0.00000000,-0.00000000,4.18846944
102,6.81750000,-0.02272700,0.00000000,-1.58780776,6.81750000,725.59939716,4.73654936,0.00000000,-0.00000000,3.85407509
103,6.88500000,-0.02232023,0.00000000,-1.57427463,6.88500000,724.04128497,4.52300003,0.00000000,-0.00000000,3.53435800
104,6.95250000,-0.02188616,0.00000000,-1.56077056,6.95250000,722.49283717,4.31360365,0.00000000,-0.00000000,3.22905550
105,7.02000000,-0.02142790,0.00000000,-1.54729537,7.02000000,720.95479532,4.10859165,0.00000000,-0.00000000,2.93788726
106,7.08750000,-0.02094841,0.00000000,-1.53384886,7.08750000,719.43011957,3.90816725,0.00000000,-0.00000000,2.66055732
107,7.15500000,-0.02045045,0.00000000,-1.52043079,7.15500000,717.91878163,3.71250705,0.00000000,-0.00000000,2.39675603
108,7.22250000,-0.01993666,0.00000000,-1.50704091,7.22250000,716.42075351,3.52176252,0.00000000,-0.00000000,2.14616181
109,7.29000000,-0.01940952,0.00000000,-1.49367897,7.29000000,714.93600741,3.33606145,0.00000000,-0.00000000,1.90844284
110,7.35750000,-0.01887135,0.00000000,-1.48034472,7.35750000,713.46451582,3.15550938,0.00000000,-0.00000000,1.68325869
111,7.42500000,-0.01832433,0.00000000,-1.46703791,7.42500000,712.00625145,2.98019090,0.00000000,-0.00000000,1.47026180
112,7.49250000,-0.01777051,0.00000000,-1.45375831,7.49250000,710.56118727,2.81017106,0.00000000,-0.00000000,1.26909892
